key,value
HDI female (2012),0.518375867
HDI female (2013),0.524515009
HDI female (2014),0.527678227
HDI female (2015),0.533680341
HDI female (2016),0.533932826
HDI female (2017),0.548628276
HDI female (2018),0.554119358
HDI female (2019),0.552190172
HDI female (2020),0.55389385
HDI female (2021),0.54762053
HDI female (2022),0.548135168
"Life Expectancy at Birth, female (years) (1990)",49.293
"Life Expectancy at Birth, female (years) (1991)",48.418
"Life Expectancy at Birth, female (years) (1992)",47.824
"Life Expectancy at Birth, female (years) (1993)",47.582
"Life Expectancy at Birth, female (years) (1994)",47.069
"Life Expectancy at Birth, female (years) (1995)",46.875
"Life Expectancy at Birth, female (years) (1996)",46.592
"Life Expectancy at Birth, female (years) (1997)",46.245
"Life Expectancy at Birth, female (years) (1998)",45.922
"Life Expectancy at Birth, female (years) (1999)",45.777
"Life Expectancy at Birth, female (years) (2000)",46.448
"Life Expectancy at Birth, female (years) (2001)",47.251
"Life Expectancy at Birth, female (years) (2002)",48.05
"Life Expectancy at Birth, female (years) (2003)",49.439
"Life Expectancy at Birth, female (years) (2004)",50.457
"Life Expectancy at Birth, female (years) (2005)",51.594
"Life Expectancy at Birth, female (years) (2006)",52.802
"Life Expectancy at Birth, female (years) (2007)",53.869
"Life Expectancy at Birth, female (years) (2008)",55.376
"Life Expectancy at Birth, female (years) (2009)",56.618
"Life Expectancy at Birth, female (years) (2010)",58.533
"Life Expectancy at Birth, female (years) (2011)",59.592
"Life Expectancy at Birth, female (years) (2012)",60.805
"Life Expectancy at Birth, female (years) (2013)",61.782
"Life Expectancy at Birth, female (years) (2014)",62.796
"Life Expectancy at Birth, female (years) (2015)",63.509
"Life Expectancy at Birth, female (years) (2016)",64.121
"Life Expectancy at Birth, female (years) (2017)",64.608
"Life Expectancy at Birth, female (years) (2018)",64.916
"Life Expectancy at Birth, female (years) (2019)",65.409
"Life Expectancy at Birth, female (years) (2020)",65.043
"Life Expectancy at Birth, female (years) (2021)",63.928
"Life Expectancy at Birth, female (years) (2022)",64.51
"Expected Years of Schooling, female (years) (1990)",6.950285798
"Expected Years of Schooling, female (years) (1991)",7.031898667
"Expected Years of Schooling, female (years) (1992)",7.114469865
"Expected Years of Schooling, female (years) (1993)",7.198010645
"Expected Years of Schooling, female (years) (1994)",7.282532393
"Expected Years of Schooling, female (years) (1995)",7.368046626
"Expected Years of Schooling, female (years) (1996)",7.454565
"Expected Years of Schooling, female (years) (1997)",7.544179161
"Expected Years of Schooling, female (years) (1998)",7.633793322
"Expected Years of Schooling, female (years) (1999)",7.723407483
"Expected Years of Schooling, female (years) (2000)",7.813021644
"Expected Years of Schooling, female (years) (2001)",7.902635805
"Expected Years of Schooling, female (years) (2002)",7.992249966
"Expected Years of Schooling, female (years) (2003)",8.416257286
"Expected Years of Schooling, female (years) (2004)",8.840264606
"Expected Years of Schooling, female (years) (2005)",9.264271927
"Expected Years of Schooling, female (years) (2006)",9.688279247
"Expected Years of Schooling, female (years) (2007)",10.11228657
"Expected Years of Schooling, female (years) (2008)",10.18506282
"Expected Years of Schooling, female (years) (2009)",10.25783907
"Expected Years of Schooling, female (years) (2010)",10.33061532
"Expected Years of Schooling, female (years) (2011)",10.40339157
"Expected Years of Schooling, female (years) (2012)",10.47616782
"Expected Years of Schooling, female (years) (2013)",10.54894406
"Expected Years of Schooling, female (years) (2014)",10.62172031
"Expected Years of Schooling, female (years) (2015)",10.69603114
"Expected Years of Schooling, female (years) (2016)",10.77086186
"Expected Years of Schooling, female (years) (2017)",10.8462161
"Expected Years of Schooling, female (years) (2018)",10.92209752
"Expected Years of Schooling, female (years) (2019)",10.99850983
"Expected Years of Schooling, female (years) (2020)",11.07545672
"Expected Years of Schooling, female (years) (2021)",11.07545672
"Expected Years of Schooling, female (years) (2022)",11.07545672
"Mean Years of Schooling, female (years) (1990)",3.228640079
"Mean Years of Schooling, female (years) (1991)",3.33302365
"Mean Years of Schooling, female (years) (1992)",3.437407221
"Mean Years of Schooling, female (years) (1993)",3.541790792
"Mean Years of Schooling, female (years) (1994)",3.646174363
"Mean Years of Schooling, female (years) (1995)",3.750557934
"Mean Years of Schooling, female (years) (1996)",3.854941504
"Mean Years of Schooling, female (years) (1997)",3.959325075
"Mean Years of Schooling, female (years) (1998)",4.063708646
"Mean Years of Schooling, female (years) (1999)",4.168092217
"Mean Years of Schooling, female (years) (2000)",4.272475788
"Mean Years of Schooling, female (years) (2001)",4.376859358
"Mean Years of Schooling, female (years) (2002)",4.481242929
"Mean Years of Schooling, female (years) (2003)",4.5856265
"Mean Years of Schooling, female (years) (2004)",4.690010071
"Mean Years of Schooling, female (years) (2005)",4.794393642
"Mean Years of Schooling, female (years) (2006)",4.898777212
"Mean Years of Schooling, female (years) (2007)",5.003160783
"Mean Years of Schooling, female (years) (2008)",5.107544354
"Mean Years of Schooling, female (years) (2009)",5.211927925
"Mean Years of Schooling, female (years) (2010)",5.316311496
"Mean Years of Schooling, female (years) (2011)",5.420695066
"Mean Years of Schooling, female (years) (2012)",5.525078637
"Mean Years of Schooling, female (years) (2013)",5.629462208
"Mean Years of Schooling, female (years) (2014)",5.733845779
"Mean Years of Schooling, female (years) (2015)",5.83822935
"Mean Years of Schooling, female (years) (2016)",5.94261292
"Mean Years of Schooling, female (years) (2017)",6.046996491
"Mean Years of Schooling, female (years) (2018)",6.151380062
"Mean Years of Schooling, female (years) (2019)",6.291983035
"Mean Years of Schooling, female (years) (2020)",6.432586008
"Mean Years of Schooling, female (years) (2021)",6.432586008
"Mean Years of Schooling, female (years) (2022)",6.432586008
"Gross National Income Per Capita, female (2017 PPP$) (1990)",1179.510577
"Gross National Income Per Capita, female (2017 PPP$) (1991)",1440.739765
"Gross National Income Per Capita, female (2017 PPP$) (1992)",1486.447631
"Gross National Income Per Capita, female (2017 PPP$) (1993)",1572.634892
"Gross National Income Per Capita, female (2017 PPP$) (1994)",1451.359025
"Gross National Income Per Capita, female (2017 PPP$) (1995)",1466.993058
"Gross National Income Per Capita, female (2017 PPP$) (1996)",1488.676942
"Gross National Income Per Capita, female (2017 PPP$) (1997)",1562.255731
"Gross National Income Per Capita, female (2017 PPP$) (1998)",1435.019263
"Gross National Income Per Capita, female (2017 PPP$) (1999)",1473.37121
"Gross National Income Per Capita, female (2017 PPP$) (2000)",1317.692554
"Gross National Income Per Capita, female (2017 PPP$) (2001)",1470.269726
"Gross National Income Per Capita, female (2017 PPP$) (2002)",1504.972354
"Gross National Income Per Capita, female (2017 PPP$) (2003)",1542.643869
"Gross National Income Per Capita, female (2017 PPP$) (2004)",1504.707653
"Gross National Income Per Capita, female (2017 PPP$) (2005)",1559.374084
"Gross National Income Per Capita, female (2017 PPP$) (2006)",1589.737749
"Gross National Income Per Capita, female (2017 PPP$) (2007)",1633.418666
"Gross National Income Per Capita, female (2017 PPP$) (2008)",1997.841674
"Gross National Income Per Capita, female (2017 PPP$) (2009)",1919.176512
"Gross National Income Per Capita, female (2017 PPP$) (2010)",2414.953683
"Gross National Income Per Capita, female (2017 PPP$) (2011)",2367.442635
"Gross National Income Per Capita, female (2017 PPP$) (2012)",2692.56879
"Gross National Income Per Capita, female (2017 PPP$) (2013)",2680.404368
"Gross National Income Per Capita, female (2017 PPP$) (2014)",2520.941434
"Gross National Income Per Capita, female (2017 PPP$) (2015)",2562.49965
"Gross National Income Per Capita, female (2017 PPP$) (2016)",2368.02526
"Gross National Income Per Capita, female (2017 PPP$) (2017)",2867.102998
"Gross National Income Per Capita, female (2017 PPP$) (2018)",2980.975164
"Gross National Income Per Capita, female (2017 PPP$) (2019)",2649.654851
"Gross National Income Per Capita, female (2017 PPP$) (2020)",2690.438836
"Gross National Income Per Capita, female (2017 PPP$) (2021)",2624.092212
"Gross National Income Per Capita, female (2017 PPP$) (2022)",2530.868643
HDI male (1990),0.460173692
HDI male (1991),0.448247379
HDI male (1992),0.444240416
HDI male (1993),0.447473656
HDI male (1994),0.443049511
HDI male (1995),0.44271156
HDI male (1996),0.445455633
HDI male (1997),0.445365106
HDI male (1998),0.446365145
HDI male (1999),0.450527413
HDI male (2000),0.459232387
HDI male (2001),0.464445726
HDI male (2002),0.473426896
HDI male (2003),0.487749679
HDI male (2004),0.501075558
HDI male (2005),0.513361259
HDI male (2006),0.525321776
HDI male (2007),0.535758531
HDI male (2008),0.540423838
HDI male (2009),0.558374042
HDI male (2010),0.557946962
HDI male (2011),0.563055535
HDI male (2012),0.576602784
HDI male (2013),0.583445069
HDI male (2014),0.585447943
HDI male (2015),0.590235194
HDI male (2016),0.591344137
HDI male (2017),0.587606451
HDI male (2018),0.589243439
HDI male (2019),0.595024564
HDI male (2020),0.586177913
HDI male (2021),0.583492564
HDI male (2022),0.589347481
"Life Expectancy at Birth, male (years) (1990)",46.455
"Life Expectancy at Birth, male (years) (1991)",45.671
"Life Expectancy at Birth, male (years) (1992)",45.094
"Life Expectancy at Birth, male (years) (1993)",44.722
"Life Expectancy at Birth, male (years) (1994)",44.533
"Life Expectancy at Birth, male (years) (1995)",44.112
"Life Expectancy at Birth, male (years) (1996)",43.749
"Life Expectancy at Birth, male (years) (1997)",43.522
"Life Expectancy at Birth, male (years) (1998)",43.37
"Life Expectancy at Birth, male (years) (1999)",43.438
"Life Expectancy at Birth, male (years) (2000)",43.895
"Life Expectancy at Birth, male (years) (2001)",44.664
"Life Expectancy at Birth, male (years) (2002)",45.802
"Life Expectancy at Birth, male (years) (2003)",47.001
"Life Expectancy at Birth, male (years) (2004)",48.397
"Life Expectancy at Birth, male (years) (2005)",49.588
"Life Expectancy at Birth, male (years) (2006)",50.643
"Life Expectancy at Birth, male (years) (2007)",51.459
"Life Expectancy at Birth, male (years) (2008)",52.371
"Life Expectancy at Birth, male (years) (2009)",53.831
"Life Expectancy at Birth, male (years) (2010)",54.916
"Life Expectancy at Birth, male (years) (2011)",55.804
"Life Expectancy at Birth, male (years) (2012)",56.789
"Life Expectancy at Birth, male (years) (2013)",57.831
"Life Expectancy at Birth, male (years) (2014)",58.468
"Life Expectancy at Birth, male (years) (2015)",58.785
"Life Expectancy at Birth, male (years) (2016)",59.349
"Life Expectancy at Birth, male (years) (2017)",59.527
"Life Expectancy at Birth, male (years) (2018)",59.674
"Life Expectancy at Birth, male (years) (2019)",60.08
"Life Expectancy at Birth, male (years) (2020)",59.643
"Life Expectancy at Birth, male (years) (2021)",58.487
"Life Expectancy at Birth, male (years) (2022)",59.058
"Expected Years of Schooling, male (years) (1990)",8.246903405
"Expected Years of Schooling, male (years) (1991)",8.349439991
"Expected Years of Schooling, male (years) (1992)",8.45325145
"Expected Years of Schooling, male (years) (1993)",8.558353632
"Expected Years of Schooling, male (years) (1994)",8.664762586
"Expected Years of Schooling, male (years) (1995)",8.772494558
"Expected Years of Schooling, male (years) (1996)",8.881566
"Expected Years of Schooling, male (years) (1997)",8.994773666
"Expected Years of Schooling, male (years) (1998)",9.107981332
"Expected Years of Schooling, male (years) (1999)",9.221188998
"Expected Years of Schooling, male (years) (2000)",9.334396664
"Expected Years of Schooling, male (years) (2001)",9.44760433
"Expected Years of Schooling, male (years) (2002)",9.560811996
"Expected Years of Schooling, male (years) (2003)",10.03260689
"Expected Years of Schooling, male (years) (2004)",10.50440178
"Expected Years of Schooling, male (years) (2005)",10.97619667
"Expected Years of Schooling, male (years) (2006)",11.44799156
"Expected Years of Schooling, male (years) (2007)",11.91978645
"Expected Years of Schooling, male (years) (2008)",11.84664277
"Expected Years of Schooling, male (years) (2009)",11.77349908
"Expected Years of Schooling, male (years) (2010)",11.70035539
"Expected Years of Schooling, male (years) (2011)",11.62721171
"Expected Years of Schooling, male (years) (2012)",11.55406802
"Expected Years of Schooling, male (years) (2013)",11.48092433
"Expected Years of Schooling, male (years) (2014)",11.40778065
"Expected Years of Schooling, male (years) (2015)",11.33601166
"Expected Years of Schooling, male (years) (2016)",11.26469419
"Expected Years of Schooling, male (years) (2017)",11.1938254
"Expected Years of Schooling, male (years) (2018)",11.12340245
"Expected Years of Schooling, male (years) (2019)",11.05342256
"Expected Years of Schooling, male (years) (2020)",10.98388292
"Expected Years of Schooling, male (years) (2021)",10.98388292
"Expected Years of Schooling, male (years) (2022)",10.98388292
"Mean Years of Schooling, male (years) (1990)",5.779069901
"Mean Years of Schooling, male (years) (1991)",5.86197097
"Mean Years of Schooling, male (years) (1992)",5.944872039
"Mean Years of Schooling, male (years) (1993)",6.027773108
"Mean Years of Schooling, male (years) (1994)",6.110674177
"Mean Years of Schooling, male (years) (1995)",6.193575246
"Mean Years of Schooling, male (years) (1996)",6.276476315
"Mean Years of Schooling, male (years) (1997)",6.359377384
"Mean Years of Schooling, male (years) (1998)",6.442278453
"Mean Years of Schooling, male (years) (1999)",6.525179522
"Mean Years of Schooling, male (years) (2000)",6.608080591
"Mean Years of Schooling, male (years) (2001)",6.690981661
"Mean Years of Schooling, male (years) (2002)",6.77388273
"Mean Years of Schooling, male (years) (2003)",6.856783799
"Mean Years of Schooling, male (years) (2004)",6.939684868
"Mean Years of Schooling, male (years) (2005)",7.022585937
"Mean Years of Schooling, male (years) (2006)",7.105487006
"Mean Years of Schooling, male (years) (2007)",7.188388075
"Mean Years of Schooling, male (years) (2008)",7.271289144
"Mean Years of Schooling, male (years) (2009)",7.354190213
"Mean Years of Schooling, male (years) (2010)",7.437091282
"Mean Years of Schooling, male (years) (2011)",7.519992352
"Mean Years of Schooling, male (years) (2012)",7.602893421
"Mean Years of Schooling, male (years) (2013)",7.68579449
"Mean Years of Schooling, male (years) (2014)",7.768695559
"Mean Years of Schooling, male (years) (2015)",7.851596628
"Mean Years of Schooling, male (years) (2016)",7.934497697
"Mean Years of Schooling, male (years) (2017)",8.017398766
"Mean Years of Schooling, male (years) (2018)",8.100299835
"Mean Years of Schooling, male (years) (2019)",8.213268893
"Mean Years of Schooling, male (years) (2020)",8.32623795
"Mean Years of Schooling, male (years) (2021)",8.32623795
"Mean Years of Schooling, male (years) (2022)",8.32623795
"Gross National Income Per Capita, male (2017 PPP$) (1990)",3099.972192
"Gross National Income Per Capita, male (2017 PPP$) (1991)",2501.143025
"Gross National Income Per Capita, male (2017 PPP$) (1992)",2351.337873
"Gross National Income Per Capita, male (2017 PPP$) (1993)",2524.774794
"Gross National Income Per Capita, male (2017 PPP$) (1994)",2253.813058
"Gross National Income Per Capita, male (2017 PPP$) (1995)",2257.589323
"Gross National Income Per Capita, male (2017 PPP$) (1996)",2400.370618
"Gross National Income Per Capita, male (2017 PPP$) (1997)",2364.122086
"Gross National Income Per Capita, male (2017 PPP$) (1998)",2363.192839
"Gross National Income Per Capita, male (2017 PPP$) (1999)",2460.4194
"Gross National Income Per Capita, male (2017 PPP$) (2000)",2690.698448
"Gross National Income Per Capita, male (2017 PPP$) (2001)",2628.77008
"Gross National Income Per Capita, male (2017 PPP$) (2002)",2666.258676
"Gross National Income Per Capita, male (2017 PPP$) (2003)",2812.554735
"Gross National Income Per Capita, male (2017 PPP$) (2004)",2848.73917
"Gross National Income Per Capita, male (2017 PPP$) (2005)",2896.59403
"Gross National Income Per Capita, male (2017 PPP$) (2006)",2973.222382
"Gross National Income Per Capita, male (2017 PPP$) (2007)",3039.690904
"Gross National Income Per Capita, male (2017 PPP$) (2008)",3021.369593
"Gross National Income Per Capita, male (2017 PPP$) (2009)",3673.150828
"Gross National Income Per Capita, male (2017 PPP$) (2010)",3267.644982
"Gross National Income Per Capita, male (2017 PPP$) (2011)",3297.5675
"Gross National Income Per Capita, male (2017 PPP$) (2012)",3868.432586
"Gross National Income Per Capita, male (2017 PPP$) (2013)",3982.835584
"Gross National Income Per Capita, male (2017 PPP$) (2014)",3886.587621
"Gross National Income Per Capita, male (2017 PPP$) (2015)",4113.554438
"Gross National Income Per Capita, male (2017 PPP$) (2016)",3974.525052
"Gross National Income Per Capita, male (2017 PPP$) (2017)",3633.767066
"Gross National Income Per Capita, male (2017 PPP$) (2018)",3679.290385
"Gross National Income Per Capita, male (2017 PPP$) (2019)",3907.699486
"Gross National Income Per Capita, male (2017 PPP$) (2020)",3411.211258
"Gross National Income Per Capita, male (2017 PPP$) (2021)",3585.753812
"Gross National Income Per Capita, male (2017 PPP$) (2022)",3800.49076
Inequality-adjusted Human Development Index (value) (2010),0.32
Inequality-adjusted Human Development Index (value) (2011),0.324
Inequality-adjusted Human Development Index (value) (2012),0.334
Inequality-adjusted Human Development Index (value) (2013),0.342
Inequality-adjusted Human Development Index (value) (2014),0.345
Inequality-adjusted Human Development Index (value) (2015),0.332
Inequality-adjusted Human Development Index (value) (2016),0.334
Inequality-adjusted Human Development Index (value) (2017),0.336
Inequality-adjusted Human Development Index (value) (2018),0.34
Inequality-adjusted Human Development Index (value) (2019),0.342
Inequality-adjusted Human Development Index (value) (2020),0.341
Inequality-adjusted Human Development Index (value) (2021),0.34
Inequality-adjusted Human Development Index (value) (2022),0.344
Coefficient of human inequality (2010),37.51496067
Coefficient of human inequality (2011),37.332131
Coefficient of human inequality (2012),37.14519367
Coefficient of human inequality (2013),36.170266
Coefficient of human inequality (2014),35.92855467
Coefficient of human inequality (2015),37.76919967
Coefficient of human inequality (2016),37.56201767
Coefficient of human inequality (2017),37.48928867
Coefficient of human inequality (2018),37.11455467
Coefficient of human inequality (2019),36.98788767
Coefficient of human inequality (2020),36.64887233
Coefficient of human inequality (2021),36.29574133
Coefficient of human inequality (2022),35.97238533
Overall loss (%) (2010),39.39393939
Overall loss (%) (2011),39.3258427
Overall loss (%) (2012),39.05109489
Overall loss (%) (2013),38.26714801
Overall loss (%) (2014),38.06104129
Overall loss (%) (2015),41.03019538
Overall loss (%) (2016),40.78014184
Overall loss (%) (2017),40.84507042
Overall loss (%) (2018),40.45534151
Overall loss (%) (2019),40.41811847
Overall loss (%) (2020),40.07029877
Overall loss (%) (2021),39.82300885
Overall loss (%) (2022),39.543058
Inequality in life expectancy (2010),31.132082
Inequality in life expectancy (2011),30.583593
Inequality in life expectancy (2012),30.022781
Inequality in life expectancy (2013),29.099928
Inequality in life expectancy (2014),28.374794
Inequality in life expectancy (2015),28.174179
Inequality in life expectancy (2016),27.552633
Inequality in life expectancy (2017),27.334446
Inequality in life expectancy (2018),27.509434
Inequality in life expectancy (2019),27.129433
Inequality in life expectancy (2020),26.112387
Inequality in life expectancy (2021),25.052994
Inequality in life expectancy (2022),24.082926
